patch	chromosome
HSCHR6_MHC_DBB	6
HSCHR6_MHC_DBB_CTG1	6
HSCHR6_MHC_MANN	6
HSCHR6_MHC_MANN_CTG1	6
HSCHR6_MHC_MCF	6
HSCHR6_MHC_MCF_CTG1	6
HSCHR6_MHC_QBL	6
HSCHR6_MHC_QBL_CTG1	6
HSCHR6_MHC_SSTO	6
HSCHR6_MHC_SSTO_CTG1	6
HSCHR7_1_CTG6	7
HSCHR7_2_CTG6	7
HSCHR7_3_CTG1	7
HSCHR7_3_CTG4_4	7
HSCHR8_3_CTG7	8
HSCHR8_7_CTG7	8
HSCHR9_1_CTG1	9
HSCHR9_1_CTG35	9
HSCHR9_1_CTG5	9
HSCHR9_1_CTG6	9
HSCHR9_1_CTG7	9
HSCHR9_2_CTG35	9
HSCHR9_3_CTG35	9
HSCHRX_2_CTG14	X
HSCHRX_3_CTG7	X
KI270733.1
