id|entrez_gene_id|hugo_symbol
659|827|CAPN6
660|828|CAPS
661|829|CAPZA1
662|830|CAPZA2
663|831|CAST
664|832|CAPZB
665|833|CARS1
666|834|CASP1
667|835|CASP2
668|836|CASP3
669|837|CASP4
670|838|CASP5
671|839|CASP6
672|840|CASP7
673|841|CASP8
674|842|CASP9
675|843|CASP10
676|844|CASQ1
677|845|CASQ2
678|846|CASR
679|847|CAT
680|856|CATR1
681|857|CAV1
682|858|CAV2
683|859|CAV3
684|860|RUNX2
685|861|RUNX1
686|862|RUNX1T1
687|863|CBFA2T3
688|864|RUNX3
689|865|CBFB
690|866|SERPINA6
691|867|CBL
692|868|CBLB
693|869|CBLN1
694|871|SERPINH1
695|873|CBR1
696|874|CBR3
697|875|CBS
698|881|CCIN
699|883|KYAT1
700|885|CCK
701|886|CCKAR
702|887|CCKBR
703|889|KRIT1
704|890|CCNA2
705|891|CCNB1
706|892|CCNC
707|894|CCND2
708|895|CCND2P1
709|896|CCND3
710|897|CCND3P1
711|898|CCNE1
712|899|CCNF
713|900|CCNG1
714|901|CCNG2
715|902|CCNH
716|904|CCNT1
717|905|CCNT2
718|908|CCT6A
719|909|CD1A
720|910|CD1B
721|911|CD1C
722|912|CD1D
723|913|CD1E
724|914|CD2
725|915|CD3D
726|916|CD3E
727|917|CD3G
728|919|CD247
729|920|CD4
730|921|CD5
731|922|CD5L
732|923|CD6
733|924|CD7
734|925|CD8A
735|926|CD8B
736|927|CD8B2
737|928|CD9
738|929|CD14
739|930|CD19
740|931|MS4A1
741|932|MS4A3
742|933|CD22
743|935|CD24P1
744|936|CD24P2
745|937|CD24P3
746|938|CD24P4
747|939|CD27
748|940|CD28
749|941|CD80
750|942|CD86
751|943|TNFRSF8
752|944|TNFSF8
753|945|CD33
754|946|SIGLEC6
755|947|CD34
756|948|CD36
757|949|SCARB1
758|950|SCARB2
759|951|CD37
760|952|CD38
761|953|ENTPD1
762|954|ENTPD2
763|955|ENTPD6
764|956|ENTPD3
765|957|ENTPD5
766|958|CD40
767|959|CD40LG
768|960|CD44
769|961|CD47
770|962|CD48
771|963|CD53
772|965|CD58
773|966|CD59
774|967|CD63
775|968|CD68
776|969|CD69
777|970|CD70
778|971|CD72
779|972|CD74
780|973|CD79A
781|974|CD79B
782|975|CD81
783|976|ADGRE5
784|977|CD151
785|978|CDA
786|983|CDK1
787|984|CDK11B
788|987|LRBA
789|988|CDC5L
790|989|SEPTIN7
791|990|CDC6
792|991|CDC20
793|993|CDC25A
794|994|CDC25B
795|995|CDC25C
796|996|CDC27
797|997|CDC34
798|998|CDC42
799|999|CDH1
800|1000|CDH2
801|1001|CDH3
802|1002|CDH4
803|1003|CDH5
804|1004|CDH6
805|1005|CDH7
806|1006|CDH8
807|1007|CDH9
808|1008|CDH10
809|1009|CDH11
810|1010|CDH12
811|1011|CDH12P2
812|1012|CDH13
813|1013|CDH15
814|1014|CDH16
815|1015|CDH17
816|1016|CDH18
817|1017|CDK2
818|1018|CDK3
819|1019|CDK4
820|1020|CDK5
821|1021|CDK6
822|1022|CDK7
823|1024|CDK8
824|1025|CDK9
825|1026|CDKN1A
826|1027|CDKN1B
827|1028|CDKN1C
828|1029|CDKN2A
829|1030|CDKN2B
830|1031|CDKN2C
831|1032|CDKN2D
832|1033|CDKN3
833|1036|CDO1
834|1038|CDR1
835|1039|CDR2
836|1040|CDS1
837|1041|CDSN
838|1043|CD52
839|1044|CDX1
840|1045|CDX2
841|1046|CDX4
842|1047|CLGN
843|1048|CEACAM5
844|1050|CEBPA
845|1051|CEBPB
846|1052|CEBPD
847|1053|CEBPE
848|1054|CEBPG
849|1055|CECR
850|1056|CEL
851|1057|CELP
852|1058|CENPA
853|1059|CENPB
854|1060|CENPC
855|1061|CENPCP1
856|1062|CENPE
857|1063|CENPF
858|1066|CES1
859|1068|CETN1
860|1069|CETN2
861|1070|CETN3
862|1071|CETP
863|1072|CFL1
864|1073|CFL2
865|1074|CFL1P5
866|1075|CTSC
867|1080|CFTR
868|1081|CGA
869|1082|CGB3
870|1084|CEACAM3
871|1085|CEACAMP5
872|1086|CEACAMP11
873|1087|CEACAM7
874|1088|CEACAM8
875|1089|CEACAM4
876|1090|CEACAMP1
877|1091|CEACAMP2
878|1092|CEACAMP3
879|1093|CEACAMP4
880|1094|CEACAMP6
881|1095|CEACAMP7
882|1096|CEACAMP8
883|1097|CEACAMP9
884|1098|CEACAMP10
885|1101|CHAD
886|1102|RCBTB2
887|1103|CHAT
888|1104|RCC1
889|1105|CHD1
890|1106|CHD2
891|1107|CHD3
892|1108|CHD4
893|1109|AKR1C4
894|1111|CHEK1
895|1112|FOXN3
896|1113|CHGA
897|1114|CHGB
898|1116|CHI3L1
899|1117|CHI3L2
900|1118|CHIT1
901|1119|CHKA
902|1120|CHKB
903|1121|CHM
904|1122|CHML
905|1123|CHN1
906|1124|CHN2
907|1128|CHRM1
908|1129|CHRM2
909|1130|LYST
910|1131|CHRM3
911|1132|CHRM4
912|1133|CHRM5
913|1134|CHRNA1
914|1135|CHRNA2
